Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
Ephesus,2015-01-01,,27.3594444444,37.9291666667,662.62,Turkey,Europe and North America,"37.9291666667,27.3594444444"
Castles of Augustusburg and Falkenlust at Brühl,1984-01-01,,6.9097777780000000,50.82502778,89.0,Germany,Europe and North America,"50.82502778,6.909777778"
Rideau Canal,2007-01-01,,-75.765125,44.9943861111,21454.81,Canada,Europe and North America,"44.9943861111,-75.765125"
Anjar,1984-01-01,,35.92972,33.72583,0.0,Lebanon,Arab States,"33.72583,35.92972"
Djémila,1982-01-01,,5.73667,36.32056,30.6,Algeria,Arab States,"36.32056,5.73667"
Stari Ras and Sopoćani,1979-01-01,,20.42278,43.11889,198.72,Serbia,Europe and North America,"43.11889,20.42278"
Necropolis of Bet She’arim: A Landmark of Jewish Renewal,2015-01-01,,35.1269444444,32.7022222222,12.2,Israel,Europe and North America,"32.7022222222,35.1269444444"
Complex of Koguryo Tombs,2004-01-01,,125.415,38.86305556,232.9,Democratic People's Republic of Korea,Asia and the Pacific,"38.86305556,125.415"
Venice and its Lagoon,1987-01-01,,12.33894444,45.43430556,0.0,Italy,Europe and North America,"45.43430556,12.33894444"
"San Pedro de la Roca Castle, Santiago de Cuba",1997-01-01,,-75.87083333,19.96666667,93.88,Cuba,Latin America and the Caribbean,"19.96666667,-75.87083333"
Berlin Modernism Housing Estates,2008-01-01,,13.45,52.4483333333,88.1,Germany,Europe and North America,"52.4483333333,13.45"
Old City of Salamanca,1988-01-01,,-5.6645,40.96525,50.78,Spain,Europe and North America,"40.96525,-5.6645"
Archaeological Site of Mystras,1989-01-01,,22.36667,37.08056,54.43,Greece,Europe and North America,"37.08056,22.36667"
Tiya,1980-01-01,,38.6121,8.43491,0.0,Ethiopia,Africa,"8.43491,38.6121"
Brimstone Hill Fortress National Park,1999-01-01,,-62.83722,17.34694,15.37,Saint Kitts and Nevis,Latin America and the Caribbean,"17.34694,-62.83722"
"Bordeaux, Port of the Moon",2007-01-01,,-0.5722222222000000,44.8388888889,1731.0,France,Europe and North America,"44.8388888889,-0.5722222222"
St Mary's Cathedral and St Michael's Church at Hildesheim,1985-01-01,,9.94389,52.15278,0.58,Germany,Europe and North America,"52.15278,9.94389"
Historic Centre of Warsaw,1980-01-01,,21.01167,52.26639,25.93,Poland,Europe and North America,"52.26639,21.01167"
Cologne Cathedral,1996-01-01,P 2004-2006,6.957222222,50.94111111,,Germany,Europe and North America,"50.94111111,6.957222222"
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,1980-01-01,,9.1705,45.46588889,1.5,Italy,Europe and North America,"45.46588889,9.1705"
Town of Bamberg,1993-01-01,,10.88888889,49.89166667,142.0,Germany,Europe and North America,"49.89166667,10.88888889"
Proto-urban Site of Sarazm,2010-01-01,,67.4602777778,39.5077777778,15.93,Tajikistan,Asia and the Pacific,"39.5077777778,67.4602777778"
Heritage of Mercury. Almadén and Idrija,2012-01-01,,-4.8388888889,38.7752777778,104.1,"Slovenia,Spain",Europe and North America,"38.7752777778,-4.8388888889"
Sacred City of Caral-Supe,2009-01-01,,-77.5213888889,-10.8916666667,626.36,Peru,Latin America and the Caribbean,"-10.8916666667,-77.5213888889"
"Provins, Town of Medieval Fairs",2001-01-01,,3.298888889,48.55972222,108.0,France,Europe and North America,"48.55972222,3.298888889"
Tower of London,1988-01-01,,-0.07611111100000000,51.50805556,0.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.50805556,-0.076111111"
Ksar of Ait-Ben-Haddou,1987-01-01,,-7.12889,31.04722,3.03,Morocco,Arab States,"31.04722,-7.12889"
Bahá’i Holy Places in Haifa and the Western Galilee,2008-01-01,,34.9716488888,32.8293966667,62.58,Israel,Europe and North America,"32.8293966667,34.9716488888"
Amiens Cathedral,1981-01-01,,2.301666667,49.895,1.54,France,Europe and North America,"49.895,2.301666667"
Ensemble of the Novodevichy Convent,2004-01-01,,37.55508333,55.72611111,5.18,Russian Federation,Europe and North America,"55.72611111,37.55508333"
Stari Grad Plain,2008-01-01,,16.6386111111,43.1816666667,1376.53,Croatia,Europe and North America,"43.1816666667,16.6386111111"
"Hospicio Cabañas, Guadalajara",1997-01-01,,-103.3397222,20.67388889,0.0,Mexico,Latin America and the Caribbean,"20.67388889,-103.3397222"
Town Hall and Roland on the Marketplace of Bremen,2004-01-01,,8.807472222,53.07597222,0.28700000000000000,Germany,Europe and North America,"53.07597222,8.807472222"
Historical Centre of the City of Yaroslavl,2005-01-01,,39.87611,57.65278,110.0,Russian Federation,Europe and North America,"57.65278,39.87611"
"Three Castles, Defensive Wall and Ramparts of the Market-Town of Bellinzona",2000-01-01,,9.02242,46.19314,5.0,Switzerland,Europe and North America,"46.19314,9.02242"
Chongoni Rock-Art Area,2006-01-01,,34.2791666666,-14.2933333333,12640.0,Malawi,Africa,"-14.2933333333,34.2791666666"
Rapa Nui National Park,1995-01-01,,-109.45,-27.15,6666.0,Chile,Latin America and the Caribbean,"-27.15,-109.45"
Margravial Opera House Bayreuth,2012-01-01,,11.5786111111,49.9444444444,0.19,Germany,Europe and North America,"49.9444444444,11.5786111111"
Upper Middle Rhine Valley,2002-01-01,,7.694166667,50.17361111,27250.0,Germany,Europe and North America,"50.17361111,7.694166667"
Cultural Landscape of Bali Province: the <em>Subak</em> System as a Manifestation of the <em>Tri Hita Karana</em> Philosophy,2012-01-01,,115.402777778,-8.2591666667,19519.9,Indonesia,Asia and the Pacific,"-8.2591666667,115.402777778"
Luther Memorials in Eisleben and Wittenberg,1996-01-01,,12.65278,51.86472,0.0,Germany,Europe and North America,"51.86472,12.65278"
"Cathedral, Torre Civica and Piazza Grande, Modena",1997-01-01,,10.92568,44.64624,1.2,Italy,Europe and North America,"44.64624,10.92568"
Temple of Apollo Epicurius at Bassae,1986-01-01,,21.89694,37.43498,20.46,Greece,Europe and North America,"37.43498,21.89694"
Maya Site of Copan,1980-01-01,,-89.13333,14.85,0.0,Honduras,Latin America and the Caribbean,"14.85,-89.13333"
Bauhaus and its Sites in Weimar and Dessau,1996-01-01,,11.32949,50.97477,0.0,Germany,Europe and North America,"50.97477,11.32949"
Historic Villages of Korea: Hahoe and Yangdong,2010-01-01,,128.516666667,36.5391666667,599.6,Republic of Korea,Asia and the Pacific,"36.5391666667,128.516666667"
Su Nuraxi di Barumini,1997-01-01,,8.991388889,39.70583333,2.3254,Italy,Europe and North America,"39.70583333,8.991388889"
Gobustan Rock Art Cultural Landscape,2007-01-01,,49.375,40.125,537.22,Azerbaijan,Europe and North America,"40.125,49.375"
Tomioka Silk Mill and Related Sites,2014-01-01,,138.887777778,36.2552777778,7.2,Japan,Asia and the Pacific,"36.2552777778,138.887777778"
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,1997-01-01,,13.59444,45.22917,1.1,Croatia,Europe and North America,"45.22917,13.59444"
Medieval City of Rhodes,1988-01-01,,28.22778,36.44722,65.85,Greece,Europe and North America,"36.44722,28.22778"
Early Christian Monuments of Ravenna,1996-01-01,,12.19625,44.42041667,1.32,Italy,Europe and North America,"44.42041667,12.19625"
Hwaseong Fortress,1997-01-01,,127.00833,37.27222,0.0,Republic of Korea,Asia and the Pacific,"37.27222,127.00833"
Shushtar Historical Hydraulic System,2009-01-01,,48.8358333333,32.0186111111,240.4152,Iran (Islamic Republic of),Asia and the Pacific,"32.0186111111,48.8358333333"
Sulaiman-Too Sacred Mountain,2009-01-01,,72.7827777778,40.5311111111,112.0,Kyrgyzstan,Asia and the Pacific,"40.5311111111,72.7827777778"
Tomb of Askia,2004-01-01,Y 2012,-0.04456,16.2898,4.24,Mali,Africa,"16.2898,-0.04456"
Aqueduct of Padre Tembleque Hydraulic System,2015-01-01,,-98.6625666667,19.835277777800000,6540.0,Mexico,Latin America and the Caribbean,"19.8352777778,-98.6625666667"
Bolgar Historical and Archaeological Complex,2014-01-01,,49.0563888889,54.9788888889,424.0,Russian Federation,Europe and North America,"54.9788888889,49.0563888889"
Ellora Caves,1983-01-01,,75.17917,20.02639,0.0,India,Asia and the Pacific,"20.02639,75.17917"
"Gochang, Hwasun and Ganghwa Dolmen Sites",2000-01-01,,126.92917,34.96667,51.65,Republic of Korea,Asia and the Pacific,"34.96667,126.92917"
Archaeological Area and the Patriarchal Basilica of Aquileia,1998-01-01,,13.3675,45.76833333,155.3,Italy,Europe and North America,"45.76833333,13.3675"
Trinidad and the Valley de los Ingenios,1988-01-01,,-79.98444444,21.80305556,0.0,"Cuba,Cuba",Latin America and the Caribbean,"21.80305556,-79.98444444"
"Church of the Ascension, Kolomenskoye",1994-01-01,,37.67389,55.65556,0.0,Russian Federation,Europe and North America,"55.65556,37.67389"
City of Cuzco,1983-01-01,,-71.98333,-13.52222,142.48,Peru,Latin America and the Caribbean,"-13.52222,-71.98333"
Neolithic Site of Çatalhöyük,2012-01-01,,32.8280555556,37.6666666667,37.0,Turkey,Europe and North America,"37.6666666667,32.8280555556"
Old City of Sana'a,1986-01-01,,44.20805556,15.355555560000000,0.0,Yemen,Arab States,"15.35555556,44.20805556"
Tipasa,1982-01-01,P 2002-2006,2.383333333,36.55,52.16,"Algeria,Algeria",Arab States,"36.55,2.383333333"
Archaeological Site of Olympia,1989-01-01,,21.66666667,37.65,105.6,Greece,Europe and North America,"37.65,21.66666667"
Wooden Churches of Maramureş,1999-01-01,,24.05583333,47.82083333,0.0,Romania,Europe and North America,"47.82083333,24.05583333"
Pre-Hispanic City of Teotihuacan,1987-01-01,,-98.84167,19.69167,3381.71,Mexico,Latin America and the Caribbean,"19.69167,-98.84167"
The Loire Valley between Sully-sur-Loire and Chalonnes,2000-01-01,,0.7027800000000000,47.39889,85394.0,France,Europe and North America,"47.39889,0.70278"
Historic and Architectural Complex of the Kazan Kremlin,2000-01-01,,49.095,55.79111111,13.45,Russian Federation,Europe and North America,"55.79111111,49.095"
Pergamon and its Multi-Layered Cultural Landscape,2014-01-01,,27.18,39.1258333333,332.5,Turkey,Europe and North America,"39.1258333333,27.18"
"Lumbini, the Birthplace of the Lord Buddha",1997-01-01,,83.27611,27.468890000000000,1.9500000000000000,Nepal,Asia and the Pacific,"27.46889,83.27611"
Taxila,1980-01-01,,72.8875,33.77916667,0.0,Pakistan,Asia and the Pacific,"33.77916667,72.8875"
City of Safranbolu,1994-01-01,,32.68972,41.26,193.0,Turkey,Europe and North America,"41.26,32.68972"
Aranjuez Cultural Landscape,2001-01-01,,-3.60934,40.03645,2047.5601,Spain,Europe and North America,"40.03645,-3.60934"
Le Morne Cultural Landscape,2008-01-01,,57.3283333333,-20.4519444444,349.6,Mauritius,Africa,"-20.4519444444,57.3283333333"
Red Bay Basque Whaling Station,2013-01-01,,-56.4295222222,51.726925,312.973,Canada,Europe and North America,"51.726925,-56.4295222222"
Villa Romana del Casale,1997-01-01,,14.33417,37.36611,8.92,Italy,Europe and North America,"37.36611,14.33417"
Pampulha Modern Ensemble,2016-01-01,,-43.9736111111,-19.8519444444,154.0,Brazil,Latin America and the Caribbean,"-19.8519444444,-43.9736111111"
Historic Monuments Zone of Querétaro,1996-01-01,,-100.3666667,20.58333333,0.0,Mexico,Latin America and the Caribbean,"20.58333333,-100.3666667"
Island of Saint-Louis,2000-01-01,,-16.50444,16.02778,0.0,Senegal,Africa,"16.02778,-16.50444"
Historic Centre of the City of Salzburg,1996-01-01,,13.04333333,47.80055556,236.0,Austria,Europe and North America,"47.80055556,13.04333333"
Tsodilo,2001-01-01,,21.73333333,-18.75,4800.0,Botswana,Africa,"-18.75,21.73333333"
Fatehpur Sikri,1986-01-01,,77.66417,27.09444,0.0,India,Asia and the Pacific,"27.09444,77.66417"
Archaeological Monuments Zone of Xochicalco,1999-01-01,,-99.275,18.81028,707.65,Mexico,Latin America and the Caribbean,"18.81028,-99.275"
Historic Centre of San Gimignano,1990-01-01,,11.04167,43.46806,13.88,Italy,Europe and North America,"43.46806,11.04167"
"Arles, Roman and Romanesque Monuments",1981-01-01,,4.630694444,43.67763889,65.0,France,Europe and North America,"43.67763889,4.630694444"
Old Town of Galle and its Fortifications,1988-01-01,,80.21861111,6.021388889,0.0,"Sri Lanka,Sri Lanka",Asia and the Pacific,"6.021388889,80.21861111"
"Champagne Hillsides, Houses and Cellars",2015-01-01,,3.9461111111,49.0775,1101.72,France,Europe and North America,"49.0775,3.9461111111"
Historic City of Trogir,1997-01-01,,16.25167,43.5125,6.4,Croatia,Europe and North America,"43.5125,16.25167"
Borobudur Temple Compounds,1991-01-01,,110.20361,-7.60778,25.51,Indonesia,Asia and the Pacific,"-7.60778,110.20361"
<i>Aflaj</i> Irrigation Systems of Oman,2006-01-01,,57.5360555555,22.9988888889,1455.949,Oman,Arab States,"22.9988888889,57.5360555555"
Australian Convict Sites,2010-01-01,,150.994444444,-33.3783333333,1502.51,Australia,Asia and the Pacific,"-33.3783333333,150.994444444"
New Lanark,2001-01-01,,-3.783055556,55.66333333,146.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"55.66333333,-3.783055556"
La Lonja de la Seda de Valencia,1996-01-01,,-0.37844444400000000,39.47441667,0.0,Spain,Europe and North America,"39.47441667,-0.378444444"
The Sassi and the Park of the Rupestrian Churches of Matera,1993-01-01,,16.61027778,40.66638889,1016.0,Italy,Europe and North America,"40.66638889,16.61027778"
Archaeological Ensemble of Mérida,1993-01-01,,-6.33778,38.91611,30.77,Spain,Europe and North America,"38.91611,-6.33778"
Archaeological Site of Leptis Magna,1982-01-01,,14.29306,32.63833,0.0,Libya,Arab States,"32.63833,14.29306"
Kuk Early Agricultural Site,2008-01-01,,144.331722222,-5.7837111111,116.0,Papua New Guinea,Asia and the Pacific,"-5.7837111111,144.331722222"
City of Vicenza and the Palladian Villas of the Veneto,1994-01-01,,11.54944444,45.54916667,333.87,Italy,Europe and North America,"45.54916667,11.54944444"
Armenian Monastic Ensembles of Iran,2008-01-01,,45.4733333333,38.9788888889,129.2819,Iran (Islamic Republic of),Asia and the Pacific,"38.9788888889,45.4733333333"
Historic Centre of Salvador de Bahia,1985-01-01,,-38.5,-12.96666667,0.0,Brazil,Latin America and the Caribbean,"-12.96666667,-38.5"
Alto Douro Wine Region,2001-01-01,,-7.7988888890000000,41.10166667,24600.0,Portugal,Europe and North America,"41.10166667,-7.798888889"
Canal du Midi,1996-01-01,,1.416388889,43.61138889,1172.0,France,Europe and North America,"43.61138889,1.416388889"
San Agustín Archaeological Park,1995-01-01,,-76.23333333,1.916666667,0.0,Colombia,Latin America and the Caribbean,"1.916666667,-76.23333333"
Sukur Cultural Landscape,1999-01-01,,13.57194,10.74056,0.0,Nigeria,Africa,"10.74056,13.57194"
Monastery of Alcobaça,1989-01-01,,-8.97667,39.55,0.0,Portugal,Europe and North America,"39.55,-8.97667"
Butrint,1992-01-01,,20.02611111,39.75111111,,Albania,Europe and North America,"39.75111111,20.02611111"
Archaeological Site of Troy,1998-01-01,,26.239,39.95644,158.0,Turkey,Europe and North America,"39.95644,26.239"
Vilnius Historic Centre,1994-01-01,,25.29306,54.68667,352.09,Lithuania,Europe and North America,"54.68667,25.29306"
Historic Centre of Puebla,1987-01-01,,-98.20833,19.04722,690.0,Mexico,Latin America and the Caribbean,"19.04722,-98.20833"
Historic Town of Zabid,1993-01-01,Y 2000,43.33,14.19806,0.0,Yemen,Arab States,"14.19806,43.33"
Studenica Monastery,1986-01-01,,20.53667,43.48611,1.16,Serbia,Europe and North America,"43.48611,20.53667"
Historic City of Sucre,1991-01-01,,-65.25917,-19.04306,0.0,Bolivia (Plurinational State of),Latin America and the Caribbean,"-19.04306,-65.25917"
"Museumsinsel (Museum Island), Berlin",1999-01-01,,13.39861111,52.51972222,8.6,Germany,Europe and North America,"52.51972222,13.39861111"
Fertö / Neusiedlersee Cultural Landscape,2001-01-01,,16.72272222,47.71927778,68369.0,"Austria,Hungary",Europe and North America,"47.71927778,16.72272222"
Landscape of the Pico Island Vineyard Culture,2004-01-01,,-28.54116667,38.51344444,987.0,Portugal,Europe and North America,"38.51344444,-28.54116667"
Blaenavon Industrial Landscape,2000-01-01,,-3.088055556,51.77638889,3290.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.77638889,-3.088055556"
Jurisdiction of Saint-Emilion,1999-01-01,,-0.155277778,44.89472222,7847.0,France,Europe and North America,"44.89472222,-0.155277778"
Hattusha: the Hittite Capital,1986-01-01,,34.62056,40.01389,268.46,Turkey,Europe and North America,"40.01389,34.62056"
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",1979-01-01,,-0.49361000000000000,5.39103,0.0,"Ghana,Ghana",Africa,"5.39103,-0.49361"
Gebel Barkal and the Sites of the Napatan Region,2003-01-01,,31.81666667,18.53333333,182.5,Sudan,Arab States,"18.53333333,31.81666667"
Cultural and Historic Ensemble of the Solovetsky Islands,1992-01-01,,35.66666667,65.08333333,28834.0,Russian Federation,Europe and North America,"65.08333333,35.66666667"
"Villa d'Este, Tivoli",2001-01-01,,12.79625,41.96391667,4.5,Italy,Europe and North America,"41.96391667,12.79625"
Earliest 16th-Century Monasteries on the Slopes of Popocatepetl,1994-01-01,,-98.89778,18.93472,0.0,Mexico,Latin America and the Caribbean,"18.93472,-98.89778"
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,2014-01-01,,34.8955555556,31.6,259.0,Israel,Europe and North America,"31.6,34.8955555556"
Tyre,1984-01-01,,35.19444,33.27194,153.8,Lebanon,Arab States,"33.27194,35.19444"
Historical Monuments of Mtskheta,1994-01-01,Y 2009,44.71639,41.84389,3.85,Georgia,Europe and North America,"41.84389,44.71639"
Mausoleum of Khoja Ahmed Yasawi,2003-01-01,,68.27444444,43.29305556,0.55,Kazakhstan,Asia and the Pacific,"43.29305556,68.27444444"
Hoi An Ancient Town,1999-01-01,,108.3333333,15.88333333,30.0,Viet Nam,Asia and the Pacific,"15.88333333,108.3333333"
Historic City of Toledo,1986-01-01,,-4.029416667,39.86688889,259.85,Spain,Europe and North America,"39.86688889,-4.029416667"
Routes of Santiago de Compostela in France,1998-01-01,,0.722944444,45.18405556,0.0,France,Europe and North America,"45.18405556,0.722944444"
Upper Svaneti,1996-01-01,,43.01139,42.91639,1.06,Georgia,Europe and North America,"42.91639,43.01139"
"Historic Town of St George and Related Fortifications, Bermuda",2000-01-01,,-64.67777778,32.37944444,257.5,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"32.37944444,-64.67777778"
Agave Landscape and Ancient Industrial Facilities of Tequila,2006-01-01,,-103.778611111,20.8630555555,35018.852,Mexico,Latin America and the Caribbean,"20.8630555555,-103.778611111"
Petroglyphic Complexes of the Mongolian Altai,2011-01-01,,88.3952777778,49.3338888889,11300.0,Mongolia,Asia and the Pacific,"49.3338888889,88.3952777778"
Levuka Historical Port Town,2013-01-01,,178.834533333,-17.6833777778,69.6,Fiji,Asia and the Pacific,"-17.6833777778,178.834533333"
Liverpool – Maritime Mercantile City,2004-01-01,Y 2012,-2.994444444,53.40666667,136.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"53.40666667,-2.994444444"
Nan Madol: Ceremonial Centre of Eastern Micronesia,2016-01-01,,158.330833333,6.8397222222,76.7,Micronesia (Federated States of),Asia and the Pacific,"6.8397222222,158.330833333"
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",1991-01-01,,4.032777778,49.25333333,4.16,France,Europe and North America,"49.25333333,4.032777778"
Centennial Hall in Wrocław,2006-01-01,,17.0770138888,51.1069472222,36.69,Poland,Europe and North America,"51.1069472222,17.0770138888"
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",1983-01-01,,-54.26583333,-28.54333333,0.0,"Argentina,Brazil",Latin America and the Caribbean,"-28.54333333,-54.26583333"
Historic Town of Grand-Bassam,2012-01-01,,3.7363888889,5.1958333333,109.89,Côte d'Ivoire,Africa,"5.1958333333,3.7363888889"
Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,1993-01-01,,38.1312,56.31035,0.0,Russian Federation,Europe and North America,"56.31035,38.1312"
M'Zab Valley,1982-01-01,,3.68333,32.48333,665.03,Algeria,Arab States,"32.48333,3.68333"
"Meidan Emam, Esfahan",1979-01-01,,51.6777777777,32.65745,0.0,Iran (Islamic Republic of),Asia and the Pacific,"32.65745,51.6777777777"
Old Havana and its Fortification System,1982-01-01,,-82.35,23.13333333,142.5,"Cuba,Cuba",Latin America and the Caribbean,"23.13333333,-82.35"
Kairouan,1988-01-01,,10.10389,35.68167,68.02,Tunisia,Arab States,"35.68167,10.10389"
Punic Town of Kerkuane and its Necropolis,1985-01-01,,11.09917,36.94639,0.0,Tunisia,Arab States,"36.94639,11.09917"
Renaissance Monumental Ensembles of Úbeda and Baeza,2003-01-01,,-3.37122,38.01131,9.0,Spain,Europe and North America,"38.01131,-3.37122"
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,1987-01-01,,123.4469444,41.79416667,12.96,China,Asia and the Pacific,"41.79416667,123.4469444"
Madara Rider,1979-01-01,,27.15,43.3,1.2,Bulgaria,Europe and North America,"43.3,27.15"
Benedictine Convent of St John at Müstair,1983-01-01,,10.44765,46.62945,2036.0,Switzerland,Europe and North America,"46.62945,10.44765"
"Acropolis, Athens",1987-01-01,,23.72618,37.97087,3.04,Greece,Europe and North America,"37.97087,23.72618"
Archaeological Site of Aigai (modern name Vergina),1996-01-01,,22.31833,40.47139,1420.81,Greece,Europe and North America,"40.47139,22.31833"
Quseir Amra,1985-01-01,,36.58583,31.801940000000000,0.0,Jordan,Arab States,"31.80194,36.58583"
"Mountain Resort and its Outlying Temples, Chengde",1994-01-01,,117.93833,40.98694,0.0,China,Asia and the Pacific,"40.98694,117.93833"
Major Mining Sites of Wallonia,2012-01-01,,3.8383333333,50.4352777778,118.07,Belgium,Europe and North America,"50.4352777778,3.8383333333"
West Lake Cultural Landscape of Hangzhou,2011-01-01,,120.140833333,30.2375,3322.88,China,Asia and the Pacific,"30.2375,120.140833333"
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,2000-01-01,,-75.39138889,20.03,81475.0,"Cuba,Cuba",Latin America and the Caribbean,"20.03,-75.39138889"
City of Bath,1987-01-01,,-2.358611111,51.38138889,2900.0,"United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",Europe and North America,"51.38138889,-2.358611111"
Sewell Mining Town,2006-01-01,,-70.3827777777,-34.0844444444,17.2,Chile,Latin America and the Caribbean,"-34.0844444444,-70.3827777777"
Roman Walls of Lugo,2000-01-01,,-7.55333,43.01111,1.6800000000000000,Spain,Europe and North America,"43.01111,-7.55333"
Syracuse and the Rocky Necropolis of Pantalica,2005-01-01,,15.29306,37.05944,898.46,Italy,Europe and North America,"37.05944,15.29306"
Complex of Hué Monuments,1993-01-01,,107.57778,16.46944,315.47,Viet Nam,Asia and the Pacific,"16.46944,107.57778"
Historic District of Old Québec,1985-01-01,,-71.21055556,46.80944444,135.0,Canada,Europe and North America,"46.80944444,-71.21055556"
Singapore Botanic Gardens,2015-01-01,,103.816111111,1.3152777778,49.0,Singapore,Asia and the Pacific,"1.3152777778,103.816111111"
Residences of the Royal House of Savoy,1997-01-01,,7.68572,45.07253,370.82,Italy,Europe and North America,"45.07253,7.68572"
Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,1979-01-01,,19.175,50.0388888889,191.97,Poland,Europe and North America,"50.0388888889,19.175"
Routes of Santiago de Compostela: <i>Camino Francés</i> and Routes of Northern Spain,1993-01-01,,-6.4147222222,43.335,14.58,Spain,Europe and North America,"43.335,-6.4147222222"
Historic Centres of Berat and Gjirokastra,2005-01-01,,20.13333333,40.06944444,58.9,Albania,Europe and North America,"40.06944444,20.13333333"
Villages with Fortified Churches in Transylvania,1993-01-01,,24.77305556,46.13583333,553.0,Romania,Europe and North America,"46.13583333,24.77305556"
Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,2010-01-01,,4.8877777778,52.365,198.2,Netherlands,Europe and North America,"52.365,4.8877777778"
Archaeological Site of Delphi,1987-01-01,,22.49617,38.48149,51.04,Greece,Europe and North America,"38.48149,22.49617"
Changdeokgung Palace Complex,1997-01-01,,126.9833333,37.55,0.0,Republic of Korea,Asia and the Pacific,"37.55,126.9833333"
Churches of Peace in Jawor and Świdnica,2001-01-01,,16.19594444,51.05427778,0.23,Poland,Europe and North America,"51.05427778,16.19594444"
Garden Kingdom of Dessau-Wörlitz,2000-01-01,,12.42083,51.8425,14500.0,Germany,Europe and North America,"51.8425,12.42083"
Historic Fortified City of Carcassonne,1997-01-01,,2.358888889,43.21055556,11.0,France,Europe and North America,"43.21055556,2.358888889"
Speyer Cathedral,1981-01-01,,8.443055556000000,49.31666667,0.0,Germany,Europe and North America,"49.31666667,8.443055556"
Central Zone of the Town of Angra do Heroismo in the Azores,1983-01-01,,-27.22,38.655,0.0,Portugal,Europe and North America,"38.655,-27.22"
Old Rauma,1991-01-01,,21.51167,61.12806,29.0,Finland,Europe and North America,"61.12806,21.51167"
Sceilg Mhichíl,1996-01-01,,-10.53861,51.77194,21.9,"Ireland,Ireland",Europe and North America,"51.77194,-10.53861"
Maulbronn Monastery Complex,1993-01-01,,8.81306,49.00083,0.0,Germany,Europe and North America,"49.00083,8.81306"
Pre-Hispanic City of Chichen-Itza,1988-01-01,,-88.6,20.66667,0.0,Mexico,Latin America and the Caribbean,"20.66667,-88.6"
Mir Castle Complex,2000-01-01,,26.47272222,53.45108333,27.0,Belarus,Europe and North America,"53.45108333,26.47272222"
Agra Fort,1983-01-01,,78.03333333,27.18333333,0.0,India,Asia and the Pacific,"27.18333333,78.03333333"
Wooden Churches of Southern Małopolska,2003-01-01,,21.23333333,49.75,8.26,Poland,Europe and North America,"49.75,21.23333333"
Prehistoric Sites and Decorated Caves of the Vézère Valley,1979-01-01,,1.17,45.0575,0.0,France,Europe and North America,"45.0575,1.17"
Bam and its Cultural Landscape,2004-01-01,,58.3666666667,29.11683,0.0,Iran (Islamic Republic of),Asia and the Pacific,"29.11683,58.3666666667"
Flemish Béguinages,1998-01-01,,4.47375,51.03097222,59.95,Belgium,Europe and North America,"51.03097222,4.47375"
Las Médulas,1997-01-01,,-6.77075,42.46939,0.0,Spain,Europe and North America,"42.46939,-6.77075"
Old Town of Cáceres,1986-01-01,,-6.37,39.47444,9.0,Spain,Europe and North America,"39.47444,-6.37"
Costiera Amalfitana,1997-01-01,,14.6,40.65,11231.0,Italy,Europe and North America,"40.65,14.6"
Archaeological Ensemble of Tárraco,2000-01-01,,1.259305556,41.11472222,32.65,Spain,Europe and North America,"41.11472222,1.259305556"
"La Grand-Place, Brussels",1998-01-01,,4.35242,50.84668,1.48,Belgium,Europe and North America,"50.84668,4.35242"
Sacred Mijikenda Kaya Forests,2008-01-01,,39.5961111111,-3.9319444444,1538.0,Kenya,Africa,"-3.9319444444,39.5961111111"
"Levoča, Spišský Hrad and the Associated Cultural Monuments",1993-01-01,,20.7675,48.9994444444,1351.2252,Slovakia,Europe and North America,"48.9994444444,20.7675"
Ancient City of Polonnaruwa,1982-01-01,,81.00055556,7.915833333,0.0,Sri Lanka,Asia and the Pacific,"7.915833333,81.00055556"
Fortress of Suomenlinna,1991-01-01,,24.98722,60.14722,210.0,"Finland,Finland",Europe and North America,"60.14722,24.98722"
Kasbah of Algiers,1992-01-01,,3.06028,36.78333,60.0,Algeria,Arab States,"36.78333,3.06028"
Mehmed Paša Sokolović Bridge in Višegrad,2007-01-01,,19.288025,43.7814444444,1.5,Bosnia and Herzegovina,Europe and North America,"43.7814444444,19.288025"
